instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
33,2011-02-02,1_Winter,0,2,False,Wednesday,True,medium,0.2502933822582048,0.23016713518985427,0.7973439588688946,0.4987231773968075,72,1454,1526
34,2011-02-03,1_Winter,0,2,False,Thursday,True,good,0.1592782185884108,0.12969936457964704,0.45020668380462725,0.5264386905595115,61,1489,1550
35,2011-02-04,1_Winter,0,2,False,Friday,True,medium,0.18961577577894884,0.19626177302335546,0.6017655526992288,0.217385155543113,88,1620,1708
36,2011-02-05,1_Winter,0,2,False,Saturday,False,medium,0.2170649911792185,0.2152569141736227,0.9554416452442159,0.28591116398764477,100,905,1005
37,2011-02-06,1_Winter,0,2,False,Sunday,False,good,0.28248256839625757,0.2790680396478778,0.5844041131105399,0.24616649140033645,354,1269,1623
38,2011-02-07,1_Winter,0,2,False,Monday,True,good,0.26483103698946564,0.2948025954469417,0.7592113110539846,0.047449931587376926,120,1592,1712
39,2011-02-08,1_Winter,0,2,False,Tuesday,True,good,0.2014893775561139,0.15643511435151103,0.5531280205655527,0.7000172964263192,64,1466,1530
40,2011-02-09,1_Winter,0,2,False,Wednesday,True,medium,0.09426685337466223,0.0856013916031263,0.5087742930591259,0.3431398641807916,53,1552,1605
41,2011-02-10,1_Winter,0,2,False,Thursday,True,good,0.10618531291906191,0.09251241490187262,0.44975938303341906,0.4113690090508344,47,1491,1538
42,2011-02-11,1_Winter,0,2,False,Friday,True,good,0.1619372873461472,0.17646986242535045,0.5206827763496145,0.17761986742979846,149,1597,1746
43,2011-02-12,1_Winter,0,2,False,Saturday,False,good,0.20356654138889124,0.20199405008805155,0.5595547557840617,0.3730901003625653,288,1184,1472
44,2011-02-13,1_Winter,0,2,False,Sunday,False,good,0.32072256891461404,0.3216525444641981,0.47032493573264783,0.49166235973969186,397,1192,1589
45,2011-02-14,1_Winter,0,2,False,Monday,True,good,0.4434309911847011,0.41909862929402286,0.3864606683804627,0.8153776568516835,208,1705,1913
46,2011-02-15,1_Winter,0,2,False,Tuesday,True,good,0.2578780830681118,0.22997942838420932,0.3232370179948587,0.5545211600851258,140,1675,1815
47,2011-02-16,1_Winter,0,2,False,Wednesday,True,good,0.3228894482818603,0.3112656636735088,0.4354529562982006,0.47291872349487596,218,1897,2115
48,2011-02-17,1_Winter,0,2,False,Thursday,True,good,0.4693899318735121,0.4588819710107184,0.519280205655527,0.4282098322452803,259,2216,2475
49,2011-02-18,1_Winter,0,2,False,Friday,True,good,0.5763433094515564,0.568257282761532,0.5312771208226221,0.49999515535138866,579,2348,2927
50,2011-02-19,1_Winter,0,2,False,Saturday,False,good,0.423702295945132,0.4099810665526949,0.1932308483290489,1.0,532,1103,1635
51,2011-02-20,1_Winter,0,2,False,Sunday,False,good,0.281715002156911,0.2602435410481968,0.41935835475578415,0.4140490274316374,639,1173,1812
52,2011-02-21,1_Winter,0,2,True,Monday,False,medium,0.30428842746860396,0.2690972641536182,0.622107969151671,0.5884790545225002,195,912,1107
53,2011-02-22,1_Winter,0,2,False,Tuesday,True,good,0.15337817614797877,0.1404039030414278,0.5941161953727507,0.357249130179419,74,1376,1450
54,2011-02-23,1_Winter,0,2,False,Wednesday,True,good,0.2026182980315166,0.21874721065061542,0.43500565552699233,0.147857232534681,139,1778,1917
55,2011-02-24,1_Winter,0,2,False,Thursday,True,medium,0.2947175244094787,0.2758127048366924,0.7171115681233933,0.47024901287707604,100,1707,1807
56,2011-02-25,1_Winter,0,2,False,Friday,True,medium,0.3803161126857018,0.3562378515630332,0.7323125964010283,0.6682467092982001,120,1341,1461
57,2011-02-26,1_Winter,0,2,False,Saturday,False,good,0.2783294867797929,0.2666255724401254,0.5531280205655527,0.3384642628825907,424,1545,1969
58,2011-02-27,1_Winter,0,2,False,Sunday,False,good,0.35431106818056646,0.3570884390459559,0.699228791773779,0.21204367275491257,694,1708,2402
59,2011-02-28,1_Winter,0,2,False,Monday,True,medium,0.4338027698674428,0.42141936798199686,0.9011455012853471,0.551041259295283,81,1365,1446
60,2011-03-01,1_Winter,0,3,False,Tuesday,True,good,0.2586007915402238,0.24258728760252984,0.5501285347043703,0.400009854221431,137,1714,1851
61,2011-03-02,1_Winter,0,3,False,Wednesday,True,good,0.3437470639968321,0.3163468737759678,0.462296143958869,0.5884522543386922,231,1903,2134
62,2011-03-03,1_Winter,0,3,False,Thursday,True,good,0.17345327303452573,0.15891205660502178,0.32733470437018,0.41924207843259337,123,1562,1685
63,2011-03-04,1_Winter,0,3,False,Friday,True,medium,0.252370546090982,0.2318236805655461,0.6276781491002571,0.37304680775795235,214,1730,1944
64,2011-03-05,1_Winter,0,3,False,Saturday,False,medium,0.4050115595974065,0.39340904962075346,0.8114827763496144,0.4730836477029254,640,1437,2077
65,2011-03-06,1_Winter,0,3,False,Sunday,False,medium,0.3954855143055158,0.37696567091925404,0.9750755784061698,0.6615425402409915,114,491,605
66,2011-03-07,1_Winter,0,3,False,Monday,True,good,0.2524602616254511,0.2092227310578893,0.5668935732647815,0.6575534359587962,244,1628,1872
67,2011-03-08,1_Winter,0,3,False,Tuesday,True,good,0.2907899776782765,0.2931513006112678,0.4327331619537276,0.20256465389727243,316,1817,2133
68,2011-03-09,1_Winter,0,3,False,Wednesday,True,medium,0.2949430592947412,0.27242216862004254,0.7973439588688946,0.4076891376587319,191,1700,1891
69,2011-03-10,1_Winter,0,3,False,Thursday,True,poor,0.4111471053158199,0.40245179216682436,0.0,0.493711543024706,46,577,623
70,2011-03-11,1_Winter,0,3,False,Friday,True,medium,0.32072256891461404,0.29656415162299443,0.6679331619537275,0.43411824199865057,247,1730,1977
71,2011-03-12,1_Winter,0,3,False,Saturday,False,good,0.33647885965574653,0.32380132796658134,0.6113964010282776,0.4089776080341179,724,1408,2132
72,2011-03-13,1_Winter,0,3,False,Sunday,False,good,0.4052370944826691,0.3951312267466709,0.5423043701799487,0.5117027125702964,982,1435,2417
73,2011-03-14,1_Winter,0,3,False,Monday,True,good,0.3315569657508455,0.3320052967447702,0.5110097686375321,0.23611848402492586,359,1687,2046
74,2011-03-15,1_Winter,0,3,False,Tuesday,True,medium,0.3218053855736922,0.31386205571243,0.6741922879177379,0.3338010308999935,289,1767,2056
75,2011-03-16,1_Winter,0,3,False,Wednesday,True,medium,0.38139892934478004,0.3778556374523119,0.7984802056555271,0.37257471221241084,321,1871,2192
76,2011-03-17,1_Winter,0,3,False,Thursday,True,good,0.4434309911847011,0.4348279345530688,0.6199660668380463,0.38589646511760234,424,2320,2744
77,2011-03-18,1_Winter,0,3,False,Friday,True,good,0.5991871274157465,0.5879809363393024,0.5400688946015425,0.4300920297696442,884,2355,3239
78,2011-03-19,1_Winter,0,3,False,Saturday,False,good,0.515078813850982,0.5085875207265067,0.3898889460154242,0.7128339689443595,1424,1693,3117
79,2011-03-20,1_Winter,0,3,False,Sunday,False,good,0.3406319412722112,0.32380132796658134,0.4871465295629821,0.3820661003856547,1047,1424,2471
80,2011-03-21,2_Spring,0,3,False,Monday,True,medium,0.46266375888651057,0.4340429788203717,0.7582426735218509,0.5491796772969253,401,1676,2077
81,2011-03-22,2_Spring,0,3,False,Tuesday,True,good,0.47665938226368737,0.4746125889047688,0.6422447300771209,0.4192338322221909,460,2243,2703
82,2011-03-23,2_Spring,0,3,False,Wednesday,True,medium,0.35864607296414897,0.3398010360365563,0.8633059125964011,0.436779706406048,203,1918,2121
83,2011-03-24,2_Spring,0,3,False,Thursday,True,medium,0.28144460950441386,0.2517153514238939,0.8286200514138818,0.45641805647953204,166,1699,1865
84,2011-03-25,2_Spring,0,3,False,Friday,True,good,0.25548566881560286,0.2326545785234011,0.5089974293059126,0.4294900564102639,300,1910,2210
85,2011-03-26,2_Spring,0,3,False,Saturday,False,good,0.2575615865992903,0.23430718599407946,0.40531311053984576,0.3858799726967974,981,1515,2496
86,2011-03-27,2_Spring,0,3,False,Sunday,False,medium,0.24162461874012975,0.2248142096414616,0.5078796915167095,0.3337824769265879,472,1221,1693
87,2011-03-28,2_Spring,0,3,False,Monday,True,good,0.2557112037008655,0.23431112389909303,0.31071876606683807,0.39130804069422376,222,1806,2028
88,2011-03-29,2_Spring,0,3,False,Tuesday,True,good,0.30325046857676025,0.2806917691484569,0.3230508997429306,0.4218025267625605,317,2108,2425
89,2011-03-30,2_Spring,0,3,False,Wednesday,True,medium,0.3001353458521393,0.28652249383849127,0.6649532133676093,0.31025603864833895,168,1368,1536
90,2011-03-31,2_Spring,0,3,False,Thursday,True,poor,0.2606767093239112,0.2343124365340975,0.9443012853470436,0.4025270099467852,179,1506,1685
91,2011-04-01,2_Spring,0,4,False,Friday,True,medium,0.3001353458521393,0.26828211781581734,0.705655526992288,0.48717848283334847,307,1920,2227
92,2011-04-02,2_Spring,0,4,False,Saturday,False,medium,0.31882608219986475,0.31052665016596953,0.6722365038560412,0.3602651816341227,898,1354,2252
93,2011-04-03,2_Spring,0,4,False,Sunday,False,good,0.39774210920723113,0.39339329800069933,0.493573264781491,0.3294800166490989,1651,1598,3249
94,2011-04-04,2_Spring,0,4,False,Monday,True,good,0.640721681727662,0.608878085611105,0.4383033419023137,0.7487132304055095,734,2381,3115
95,2011-04-05,2_Spring,0,4,False,Tuesday,True,medium,0.4423930322928574,0.41909862929402286,0.660239588688946,0.7538588656966513,167,1628,1795
96,2011-04-06,2_Spring,0,4,False,Wednesday,True,good,0.4133177228303357,0.40499830407557413,0.4841470437017995,0.49615654440903845,413,2395,2808
97,2011-04-07,2_Spring,0,4,False,Thursday,True,good,0.4714670957062893,0.4654950261634409,0.6199660668380463,0.28845305834420637,571,2570,3141
98,2011-04-08,2_Spring,0,4,False,Friday,True,medium,0.34478502288867574,0.32213296887584886,0.859897172236504,0.42179428055215806,172,1299,1471
99,2011-04-09,2_Spring,0,4,False,Saturday,False,medium,0.3530924321706948,0.344513395702748,0.9023136246786632,0.2281959373807521,879,1576,2455
100,2011-04-10,2_Spring,0,4,False,Sunday,False,medium,0.457968645915962,0.4563603991670543,0.8817480719794345,0.2564062231676045,1188,1707,2895
101,2011-04-11,2_Spring,0,4,False,Monday,True,medium,0.6685322513639875,0.6381340945916287,0.7372298200514139,0.6227585511655709,855,2493,3348
102,2011-04-12,2_Spring,0,4,False,Tuesday,True,medium,0.5524602865464329,0.5434104147611581,0.7600688946015425,0.520515849937937,257,1777,2034
103,2011-04-13,2_Spring,0,4,False,Wednesday,True,medium,0.4403158684600802,0.44395074783441474,0.8423311053984576,0.4704984607417507,209,1953,2162
104,2011-04-14,2_Spring,0,4,False,Thursday,True,good,0.5088485684017402,0.5036218225044445,0.5556987146529564,0.18205220552112653,529,2738,3267
105,2011-04-15,2_Spring,0,4,True,Friday,False,good,0.4828896277129292,0.4762809479955013,0.6902313624678664,0.42052230259757695,642,2484,3126
106,2011-04-16,2_Spring,0,4,False,Saturday,False,poor,0.46315968642427024,0.45472616858643905,0.9134529562982006,0.6564319513440602,121,674,795
107,2011-04-17,2_Spring,0,4,False,Sunday,False,good,0.49535011861141287,0.4812466462175634,0.49314447300771214,0.5795113007098132,1558,2186,3744
108,2011-04-18,2_Spring,0,4,False,Monday,True,good,0.5649207774449164,0.5566575272266752,0.557840616966581,0.29104030685798155,669,2760,3429
109,2011-04-19,2_Spring,0,4,False,Tuesday,True,medium,0.5566133681628974,0.5384276522840374,0.6846611825192802,0.279503858504925,409,2795,3204
110,2011-04-20,2_Spring,0,4,False,Wednesday,True,good,0.6677198273574064,0.6370511707129078,0.6315341902313625,0.4525794455371819,613,3331,3944
111,2011-04-21,2_Spring,0,4,False,Thursday,True,good,0.49846524133603376,0.4920050027145292,0.4185943444730077,0.6243748084044553,745,3444,4189
112,2011-04-22,2_Spring,0,4,False,Friday,True,medium,0.34582422782960925,0.3188185654894606,0.750213881748072,0.4063924210729433,177,1506,1683
113,2011-04-23,2_Spring,0,4,False,Saturday,False,medium,0.4995032002278775,0.48705505611252115,0.9130251928020565,0.4294900564102639,1462,2574,4036
114,2011-04-24,2_Spring,0,4,False,Sunday,False,medium,0.6511062548424583,0.6204739032409483,0.833761439588689,0.3500172036564522,1710,2481,4191
115,2011-04-25,2_Spring,0,4,False,Monday,True,good,0.6822574820886673,0.650319285338497,0.7986293059125964,0.335912060763026,773,3300,4073
116,2011-04-26,2_Spring,0,4,False,Tuesday,True,good,0.7134087093348764,0.6760246166318206,0.7497861182519281,0.6269352567344224,678,3722,4400
117,2011-04-27,2_Spring,0,4,False,Wednesday,True,medium,0.6988710546036155,0.6511619970113927,0.859040616966581,0.5974550545455894,547,3325,3872
118,2011-04-28,2_Spring,0,4,False,Thursday,True,medium,0.6957559318789948,0.6561329457734728,0.7206508997429306,0.6154070545917684,569,3489,4058
119,2011-04-29,2_Spring,0,4,False,Friday,True,good,0.5618056547202956,0.5491978224960437,0.47000822622107974,0.4487408345948318,878,3717,4595
120,2011-04-30,2_Spring,0,4,False,Saturday,False,good,0.515078813850982,0.5053006826752131,0.5175660668380464,0.4384578102229508,1965,3347,5312
121,2011-05-01,2_Spring,0,5,False,Sunday,False,medium,0.48911987316217104,0.48453873480887505,0.7836329048843187,0.17309269791884208,1138,2213,3351
122,2011-05-02,2_Spring,0,5,False,Monday,True,medium,0.6106096594223864,0.5956257226055699,0.7506426735218509,0.3320384034264654,847,3554,4401
123,2011-05-03,2_Spring,0,5,False,Tuesday,True,medium,0.6947179729871509,0.66026774603768,0.7167948586118252,0.6602643776286086,603,3848,4451
124,2011-05-04,2_Spring,0,5,False,Wednesday,True,medium,0.4423930322928574,0.4273682298224372,0.7579259640102829,0.6320808920255642,255,2378,2633
125,2011-05-05,2_Spring,0,5,False,Thursday,True,good,0.49846524133603376,0.47628619853551935,0.4567269922879178,0.5628044784344075,614,3819,4433
126,2011-05-06,2_Spring,0,5,False,Friday,True,good,0.5233862231330011,0.5185530456807482,0.6066838046272494,0.42437946751333266,894,3714,4608
127,2011-05-07,2_Spring,0,5,False,Saturday,False,good,0.5742661456187793,0.5690947438944095,0.5565552699228792,0.28461444740185626,1612,3102,4714
128,2011-05-08,2_Spring,0,5,False,Sunday,False,good,0.5846494726844857,0.577380096042878,0.6495290488431876,0.10770746486135133,1401,2932,4333
129,2011-05-09,2_Spring,0,5,False,Monday,True,good,0.5898417592418838,0.5856667608263509,0.6053984575835476,0.31667159034146114,664,3698,4362
130,2011-05-10,2_Spring,0,5,False,Tuesday,True,good,0.5898417592418838,0.5823523574399626,0.5029994858611826,0.19230018349879702,694,4109,4803
131,2011-05-11,2_Spring,0,5,False,Wednesday,True,good,0.6023022501403674,0.5898068116305761,0.6508143958868895,0.2025481614764675,550,3632,4182
132,2011-05-12,2_Spring,0,5,False,Thursday,True,good,0.5929568819665048,0.5831950691128582,0.7686375321336761,0.3448468297341031,695,4169,4864
133,2011-05-13,2_Spring,0,5,False,Friday,True,medium,0.5649207774449164,0.5450459579767779,0.8877460154241645,0.32435087377876204,692,3413,4105
134,2011-05-14,2_Spring,0,5,False,Saturday,False,medium,0.575304104510623,0.553353624920323,0.948586118251928,0.23204485608610528,902,2507,3409
135,2011-05-15,2_Spring,0,5,False,Sunday,False,medium,0.6272232319373346,0.5997828376648539,0.89160205655527,0.2692125879226415,1582,2971,4553
136,2011-05-16,2_Spring,0,5,False,Monday,True,good,0.6459139682850601,0.618831796850306,0.8101974293059127,0.2153895726257151,773,3185,3958
137,2011-05-17,2_Spring,0,5,False,Tuesday,True,medium,0.6261852730454911,0.6031024915912602,0.8616113110539847,0.5256181926244657,678,3445,4123
138,2011-05-18,2_Spring,0,5,False,Wednesday,True,medium,0.6116476183142302,0.5881765189549745,0.8946015424164524,0.36922468923640717,536,3319,3855
139,2011-05-19,2_Spring,0,5,False,Thursday,True,medium,0.5877645954091065,0.5666283027209349,0.8530416452442159,0.17692512420339035,735,3840,4575
140,2011-05-20,2_Spring,0,5,False,Friday,True,good,0.5950340457992819,0.5906495233034718,0.7399311053984576,0.21155920789376742,909,4008,4917
141,2011-05-21,2_Spring,0,5,False,Saturday,False,good,0.6770651955312692,0.6470048819521088,0.6443876606683805,0.20256465389727243,2258,3547,5805
142,2011-05-22,2_Spring,0,5,False,Sunday,False,good,0.6791423593640464,0.650319285338497,0.7707794344473008,0.258964609944971,1576,3084,4660
143,2011-05-23,2_Spring,0,5,False,Monday,True,medium,0.7134087093348764,0.6710536678697404,0.8329048843187661,0.43591591586638917,836,3438,4274
144,2011-05-24,2_Spring,0,5,False,Tuesday,True,medium,0.7487130181975501,0.6901091902302152,0.7617820051413882,0.3807693837998662,659,3833,4492
145,2011-05-25,2_Spring,0,5,False,Wednesday,True,good,0.7497509770893938,0.7041924511936053,0.7159383033419023,0.2717977748838161,740,4238,4978
146,2011-05-26,2_Spring,0,5,False,Thursday,True,good,0.8089383088571911,0.7555768610801621,0.6966580976863753,0.3654108169252644,758,3919,4677
147,2011-05-27,2_Spring,0,5,False,Friday,True,good,0.7757111638272947,0.7323694742004215,0.6722365038560412,0.45001075099681226,871,3808,4679
148,2011-05-28,2_Spring,0,5,False,Saturday,False,good,0.743520731640152,0.7000405866743394,0.750213881748072,0.42818509361407286,2001,2757,4758
149,2011-05-29,2_Spring,0,5,False,Sunday,False,good,0.7580583863714128,0.7042029522736414,0.8419023136246787,0.3948827729036948,2355,2433,4788
150,2011-05-30,2_Spring,0,5,True,Monday,False,good,0.8400895361034002,0.7771093256941477,0.7043701799485862,0.22436557264880447,1549,2549,4098
151,2011-05-31,2_Spring,0,5,False,Tuesday,True,good,0.8920086635301119,0.8483735927240116,0.6546704370179949,0.18334892210691503,673,3309,3982
152,2011-06-01,2_Spring,0,6,False,Wednesday,True,medium,0.8785102137397847,0.8425769965440946,0.6962293059125965,0.3807693837998662,513,3461,3974
153,2011-06-02,2_Spring,0,6,False,Thursday,True,good,0.8172457181392101,0.7414712853216953,0.3136246786632391,0.5564033576094897,736,4232,4968
154,2011-06-03,2_Spring,0,6,False,Friday,True,good,0.6988710546036155,0.6669018033504746,0.3641820051413882,0.47566058845369746,898,4414,5312
155,2011-06-04,2_Spring,0,6,False,Saturday,False,good,0.717561790951341,0.6768292618895853,0.46915167095115684,0.20770204297801173,1869,3473,5342
156,2011-06-05,2_Spring,0,6,False,Sunday,False,medium,0.7341753634662893,0.7058489965692971,0.6709511568123393,0.2397591859176167,1685,3221,4906
157,2011-06-06,2_Spring,0,6,False,Monday,True,good,0.7715568361617401,0.7124830538820918,0.6169665809768637,0.20513334843764208,673,3875,4548
158,2011-06-07,2_Spring,0,6,False,Tuesday,True,good,0.8079003499653474,0.757233406455854,0.6148246786632392,0.3410144034495548,763,4070,4833
159,2011-06-08,2_Spring,0,6,False,Wednesday,True,good,0.8930466224219555,0.850862348692563,0.6396740359897173,0.2358937747914585,676,3725,4401
160,2011-06-09,2_Spring,0,6,False,Thursday,True,medium,0.9335432178420273,0.8906351893292225,0.5844041131105399,0.2628300210711291,563,3352,3915
161,2011-06-10,2_Spring,0,6,False,Friday,True,good,0.8670876817331447,0.8193761728393765,0.622107969151671,0.24359779685996683,815,3771,4586
162,2011-06-11,2_Spring,0,6,False,Saturday,False,good,0.8297062090376937,0.7862268884354756,0.6730930591259641,0.2730697528383972,1729,3237,4966
163,2011-06-12,2_Spring,0,6,False,Sunday,False,good,0.789209613617622,0.7406613895239126,0.7690663239074551,0.29104030685798155,1467,2993,4460
164,2011-06-13,2_Spring,0,6,False,Monday,True,good,0.717561790951341,0.6859625762509673,0.5085686375321337,0.5833334192313584,863,4157,5020
165,2011-06-14,2_Spring,0,6,False,Tuesday,True,good,0.6791423593640464,0.6726944616253782,0.5214221079691517,0.5089794015848804,727,4164,4891
166,2011-06-15,2_Spring,0,6,False,Wednesday,True,good,0.7071784638856345,0.6677169496882753,0.48500462724935733,0.2999977529076654,769,4411,5180
167,2011-06-16,2_Spring,0,6,False,Thursday,True,medium,0.709254381669322,0.677682474642517,0.7077974293059126,0.37948915963488256,545,3222,3767
168,2011-06-17,2_Spring,0,6,False,Friday,True,good,0.7352145684072229,0.6842942171602349,0.7566406169665809,0.24870013954649556,863,3981,4844
169,2011-06-18,2_Spring,0,6,False,Saturday,False,good,0.7944019001750201,0.7414870369417494,0.6893748071979435,0.2000042055673053,1807,3312,5119
170,2011-06-19,2_Spring,0,6,False,Sunday,False,medium,0.7975170228996409,0.7439705423702828,0.685518766066838,0.16411669789575267,1639,3105,4744
171,2011-06-20,2_Spring,0,6,False,Monday,True,medium,0.717561790951341,0.677682474642517,0.7673521850899743,0.2743582232137832,699,3311,4010
172,2011-06-21,3_Summer,0,6,False,Tuesday,True,medium,0.7746719588863611,0.7332069353332991,0.7922025706940874,0.3064153661533882,774,4061,4835
173,2011-06-22,3_Summer,0,6,False,Wednesday,True,good,0.8400895361034002,0.8069547077916963,0.7275064267352186,0.3089655067203523,661,3846,4507
174,2011-06-23,3_Summer,0,6,False,Thursday,True,medium,0.8338592906541583,0.8069599583317144,0.7232215938303342,0.4461453398706541,746,4044,4790
175,2011-06-24,3_Summer,0,6,False,Friday,True,good,0.82866825014585,0.758064304413709,0.5895455012853471,0.41155454878489,969,4022,4991
176,2011-06-25,3_Summer,0,6,False,Saturday,False,good,0.7923247363422428,0.7406456379038584,0.4970005141388175,0.3858799726967974,1782,3420,5202
177,2011-06-26,3_Summer,0,6,False,Sunday,False,good,0.7736339999945174,0.7331846205382223,0.5278488431876608,0.14872370309272062,1920,3385,5305
178,2011-06-27,3_Summer,0,6,False,Monday,True,medium,0.7767491227191383,0.7323642236604034,0.6769491002570693,0.1756366538280043,854,3854,4708
179,2011-06-28,3_Summer,0,6,False,Tuesday,True,good,0.8535892319428173,0.8052863487009638,0.6520997429305914,0.25128532650767016,732,3916,4648
180,2011-06-29,3_Summer,0,6,False,Wednesday,True,good,0.8338592906541583,0.7555768610801621,0.5119969151670951,0.4935960960790714,848,4377,5225
181,2011-06-30,3_Summer,0,6,False,Thursday,True,good,0.7944019001750201,0.7323694742004215,0.4464442159383034,0.33586876815841304,1027,4488,5515
182,2011-07-01,3_Summer,0,7,False,Friday,True,good,0.8265910863130729,0.7522611450587693,0.40745501285347047,0.16537012187692823,1246,4116,5362
183,2011-07-02,3_Summer,0,7,False,Saturday,False,good,0.846319781552642,0.772142314837081,0.45715475578406173,0.19104469796502085,2204,2915,5119
184,2011-07-03,3_Summer,0,7,False,Sunday,False,medium,0.8193228819719873,0.7738054233877955,0.7017994858611826,0.42564113770491063,2282,2367,4649
185,2011-07-04,3_Summer,0,7,True,Monday,False,medium,0.8317833728704709,0.7696601220435522,0.6559557840616966,0.12181198928899734,3065,2978,6043
186,2011-07-05,3_Summer,0,7,False,Tuesday,True,good,0.8567043546674382,0.8102481090180125,0.6071125964010283,0.21412584088153644,1031,3634,4665
187,2011-07-06,3_Summer,0,7,False,Wednesday,True,good,0.8234759635884519,0.7961963512947308,0.7643526992287918,0.2628300210711291,784,3845,4629
